Date,Index_Value,Unit,Sequence No.,Industry
2022-09-30,119.573108,Index,70,Jute Goods
2022-09-30,137.4181841,Index,80,Paper & Board
2022-09-30,133.9467148,Index,90,Cement
2022-09-30,67.74348432,Index,100,Automobiles
2022-09-30,112.7247537,Index,110,Fertilizers
2022-08-31,114.1192593,Index,10,Overall
2022-08-31,110.3653615,Index,20,Vegetable Ghee
2022-08-31,79.31329725,Index,30,Tea Blended
2022-08-31,96.58831882,Index,40,Cigarettes
2022-08-31,101.5110882,Index,50,Cotton Yarn
2022-08-31,101.1217466,Index,60,Cotton Cloth
2022-08-31,108.3699009,Index,70,Jute Goods
2022-08-31,134.3555295,Index,80,Paper & Board
2022-08-31,102.4497629,Index,90,Cement
2022-08-31,90.73488357,Index,100,Automobiles
2022-08-31,114.9507925,Index,110,Fertilizers
2022-07-31,109.6500761,Index,10,Overall
2022-07-31,116.782267,Index,20,Vegetable Ghee
2022-07-31,59.23464279,Index,30,Tea Blended
2022-07-31,22.89152124,Index,40,Cigarettes
2022-07-31,101.5216591,Index,50,Cotton Yarn
2022-07-31,101.185258,Index,60,Cotton Cloth
2022-07-31,88.8022103,Index,70,Jute Goods
2022-07-31,130.608351,Index,80,Paper & Board
2022-07-31,72.64619553,Index,90,Cement
2022-07-31,108.1648804,Index,100,Automobiles
2022-07-31,95.21311608,Index,110,Fertilizers
2022-06-30,131.9513204,Index,10,Overall
2022-06-30,112.2465453,Index,20,Vegetable Ghee
2022-06-30,72.30405317,Index,30,Tea Blended
2022-06-30,101.1172976,Index,40,Cigarettes
2022-06-30,101.4969936,Index,50,Cotton Yarn
2022-06-30,101.0351401,Index,60,Cotton Cloth
2022-06-30,97.68676526,Index,70,Jute Goods
2022-06-30,147.2218261,Index,80,Paper & Board
2022-06-30,164.9695191,Index,90,Cement
2022-06-30,170.1524831,Index,100,Automobiles
2022-06-30,111.7962701,Index,110,Fertilizers
2022-05-31,129.1659631,Index,10,Overall
2022-05-31,104.9122485,Index,20,Vegetable Ghee
2022-05-31,72.73940995,Index,30,Tea Blended
2022-05-31,93.42700198,Index,40,Cigarettes
2022-05-31,101.5005172,Index,50,Cotton Yarn
2022-05-31,101.0409139,Index,60,Cotton Cloth
2022-05-31,81.13115553,Index,70,Jute Goods
2022-05-31,142.7724204,Index,80,Paper & Board
2022-05-31,109.5958456,Index,90,Cement
2022-05-31,143.8433141,Index,100,Automobiles
2022-05-31,121.3927093,Index,110,Fertilizers
2022-04-30,132.5980598,Index,10,Overall
2022-04-30,105.9475763,Index,20,Vegetable Ghee
2022-04-30,100.2887867,Index,30,Tea Blended
2022-04-30,111.0945032,Index,40,Cigarettes
2022-04-30,101.4635189,Index,50,Cotton Yarn
2022-04-30,101.0062713,Index,60,Cotton Cloth
2022-04-30,114.8707947,Index,70,Jute Goods
2022-04-30,142.2531263,Index,80,Paper & Board
2022-04-30,113.8293068,Index,90,Cement
2022-04-30,142.6298829,Index,100,Automobiles
2022-04-30,120.8794942,Index,110,Fertilizers
2022-03-31,153.7192239,Index,10,Overall
2022-03-31,108.8515208,Index,20,Vegetable Ghee
2022-03-31,103.8935408,Index,30,Tea Blended
2022-03-31,118.627854,Index,40,Cigarettes
2022-03-31,101.7771238,Index,50,Cotton Yarn
2022-03-31,101.2718645,Index,60,Cotton Cloth
2022-03-31,115.3691966,Index,70,Jute Goods
2022-03-31,158.3296042,Index,80,Paper & Board
2022-03-31,155.9607135,Index,90,Cement
2022-03-31,167.3533697,Index,100,Automobiles
2022-03-31,125.0622852,Index,110,Fertilizers
2022-02-28,142.6646578,Index,10,Overall
2022-02-28,118.2961076,Index,20,Vegetable Ghee
2022-02-28,123.6587383,Index,30,Tea Blended
2022-02-28,104.6149247,Index,40,Cigarettes
2022-02-28,101.7418873,Index,50,Cotton Yarn
2022-02-28,101.2025793,Index,60,Cotton Cloth
2022-02-28,98.74857793,Index,70,Jute Goods
2022-02-28,131.2161611,Index,80,Paper & Board
2022-02-28,138.3156469,Index,90,Cement
2022-02-28,139.9625257,Index,100,Automobiles
2022-02-28,110.1416692,Index,110,Fertilizers
2022-01-31,137.7316227,Index,10,Overall
2022-01-31,116.310521,Index,20,Vegetable Ghee
2022-01-31,121.9956755,Index,30,Tea Blended
2022-01-31,124.5917567,Index,40,Cigarettes
2022-01-31,101.6009413,Index,50,Cotton Yarn
2022-01-31,101.1794843,Index,60,Cotton Cloth
2022-01-31,125.5972696,Index,70,Jute Goods
2022-01-31,145.4239672,Index,80,Paper & Board
2022-01-31,118.7062542,Index,90,Cement
2022-01-31,145.2263291,Index,100,Automobiles
2022-01-31,119.2216869,Index,110,Fertilizers
2021-12-31,129.8630122,Index,10,Overall
2021-12-31,127.2486478,Index,20,Vegetable Ghee
2021-12-31,114.89936,Index,30,Tea Blended
2021-12-31,125.286798,Index,40,Cigarettes
2021-12-31,101.5886085,Index,50,Cotton Yarn
2021-12-31,101.162163,Index,60,Cotton Cloth
2021-12-31,137.2122,Index,70,Jute Goods
2021-12-31,146.6336863,Index,80,Paper & Board
2021-12-31,138.4172499,Index,90,Cement
2021-12-31,160.456776,Index,100,Automobiles
2021-12-31,114.0956754,Index,110,Fertilizers
2021-11-30,118.8143126,Index,10,Overall
2021-11-30,128.1815062,Index,20,Vegetable Ghee
2021-11-30,105.7394535,Index,30,Tea Blended
2021-11-30,122.0357984,Index,40,Cigarettes
2021-11-30,101.5762757,Index,50,Cotton Yarn
2021-11-30,101.1448417,Index,60,Cotton Cloth
2021-11-30,130.8629937,Index,70,Jute Goods
2021-11-30,141.6925248,Index,80,Paper & Board
2021-11-30,146.0036126,Index,90,Cement
2021-11-30,132.8263916,Index,100,Automobiles
2021-11-30,106.7454996,Index,110,Fertilizers
2021-10-31,117.4213235,Index,10,Overall
2021-10-31,118.074735,Index,20,Vegetable Ghee
2021-10-31,101.594857,Index,30,Tea Blended
2021-10-31,98.78554613,Index,40,Cigarettes
2021-10-31,101.5005172,Index,50,Cotton Yarn
2021-10-31,101.0697827,Index,60,Cotton Cloth
2021-10-31,120.916626,Index,70,Jute Goods
2021-10-31,140.850639,Index,80,Paper & Board
2021-10-31,151.8288553,Index,90,Cement
2021-10-31,122.4903517,Index,100,Automobiles
2021-10-31,116.5862874,Index,110,Fertilizers
2021-09-30,115.0053066,Index,10,Overall
2021-09-30,108.3836416,Index,20,Vegetable Ghee
2021-09-30,110.6415708,Index,30,Tea Blended
2021-09-30,127.5288666,Index,40,Cigarettes
2021-09-30,101.4864226,Index,50,Cotton Yarn
2021-09-30,101.0351401,Index,60,Cotton Cloth
2021-09-30,88.8022103,Index,70,Jute Goods
2021-09-30,149.6117589,Index,80,Paper & Board
2021-09-30,135.9449086,Index,90,Cement
2021-09-30,142.134972,Index,100,Automobiles
2021-09-30,94.89710625,Index,110,Fertilizers
2021-08-31,114.3038529,Index,10,Overall
2021-08-31,105.6923694,Index,20,Vegetable Ghee
2021-08-31,100.2017153,Index,30,Tea Blended
2021-08-31,118.0224954,Index,40,Cigarettes
2021-08-31,101.5075645,Index,50,Cotton Yarn
2021-08-31,101.0524614,Index,60,Cotton Cloth
2021-08-31,66.78584972,Index,70,Jute Goods
2021-08-31,148.415809,Index,80,Paper & Board
2021-08-31,127.5118537,Index,90,Cement
2021-08-31,130.1479887,Index,100,Automobiles
2021-08-31,110.9296242,Index,110,Fertilizers
2021-07-31,112.2248415,Index,10,Overall
2021-07-31,102.0982063,Index,20,Vegetable Ghee
2021-07-31,97.31094632,Index,30,Tea Blended
2021-07-31,93.27005717,Index,40,Cigarettes
2021-07-31,101.4987554,Index,50,Cotton Yarn
2021-07-31,101.1563892,Index,60,Cotton Cloth
2021-07-31,71.81320765,Index,70,Jute Goods
2021-07-31,110.1021377,Index,80,Paper & Board
2021-07-31,124.9379092,Index,90,Cement
2021-07-31,116.8574668,Index,100,Automobiles
2021-07-31,110.2184296,Index,110,Fertilizers
2021-06-30,118.251371,Index,10,Overall
2021-06-30,120.4218647,Index,20,Vegetable Ghee
2021-06-30,96.5708398,Index,30,Tea Blended
2021-06-30,59.34755801,Index,40,Cigarettes
2021-06-30,101.4917081,Index,50,Cotton Yarn
2021-06-30,101.0235926,Index,60,Cotton Cloth
2021-06-30,84.96668292,Index,70,Jute Goods
2021-06-30,103.5814569,Index,80,Paper & Board
2021-06-30,158.0266426,Index,90,Cement
2021-06-30,137.8225399,Index,100,Automobiles
2021-06-30,110.1347296,Index,110,Fertilizers
2021-05-31,108.1708465,Index,10,Overall
2021-05-31,115.3244945,Index,20,Vegetable Ghee
2021-05-31,111.4513344,Index,30,Tea Blended
2021-05-31,96.31927058,Index,40,Cigarettes
2021-05-31,101.4740899,Index,50,Cotton Yarn
2021-05-31,101.0062713,Index,60,Cotton Cloth
